date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:12	47484/47484	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/index-slideshow.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-slideshow.html	(from )
09:18:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2004:18:47%20GMT	http://demo.highhay.com/robots.txt		(from )
09:18:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Nov%202019%2004:18:47%20GMT	http://demo.highhay.com/img/bg-default.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/img/bg-default.1.delayed	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:14	4181/4181	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/opensans/stylesheet.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/opensans/stylesheet.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:15	2190/2190	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/stylesheet.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:16	52088/52088	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/ionicons.min.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/ionicons.min.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:17	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/font-awesome.min.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/font-awesome.min.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:18	1731/1731	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/css/pageloader.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/css/pageloader.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:20	124962/124962	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/css/bootstrap.min.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/css/bootstrap.min.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:20	17216/17216	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/vendor/swiper.min.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vendor/swiper.min.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:22	3724/3724	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/vendor/jquery.fullpage.min.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vendor/jquery.fullpage.min.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:23	10070/10070	---M--	200	added ('OK')	text/css	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/js/vegas/vegas.min.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vegas/vegas.min.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:26	129491/129491	---M--	200	added ('OK')	text/css	date:Sun,%2001%20Sep%202019%2018:11:30%20GMT	http://demo.highhay.com/simpleux/css/main.css	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/css/main.css	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:27	47140/47140	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/index.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index.html	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:28	11446/11446	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/gallery.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/gallery.html	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:28	15504/15504	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/vendor/modernizr-2.7.1.min.js	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vendor/modernizr-2.7.1.min.js	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:28	21678/21678	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/logo.png	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/logo.png	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:29	13900/13900	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/item.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/item.html	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:29	17436/17436	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202018%2010:01:27%20GMT	http://demo.highhay.com/simpleux/demo.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demo.html	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:30	11225/11225	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/logo_white.png	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/logo_white.png	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:40	44167/44167	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-sample2-small.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-sample2-small.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:42	97595/97595	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-people1-square.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-people1-square.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:44	85246/85246	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-people2-square.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-people2-square.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:46	32705/32705	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-sample3-small.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-sample3-small.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:46	18842/18842	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-sample4-small.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-sample4-small.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:47	15593/15593	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-sample5-small.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-sample5-small.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:48	47786/47786	---M-Z	200	added ('OK')	text/html	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/index-video.html	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/index-video.html	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:53	142149/142149	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-people3-square.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-people3-square.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:18:55	55935/55935	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/default.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/default.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:03	102182/102182	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/slideshow.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/slideshow.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:04	96923/96923	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/demopage/video.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/demopage/video.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:04	71831/71831	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-sample7.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-sample7.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:09	91399/91399	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/img/items/img-portrait.jpg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/img/items/img-portrait.jpg	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:12	39343/39343	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/vendor/scrolloverflow.min.js	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vendor/scrolloverflow.min.js	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:16	23364/23364	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/particlejs/particles.min.js	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/particlejs/particles.min.js	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:18	4894/4894	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/jquery.downCount.js	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/jquery.downCount.js	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:19	97163/97163	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/js/vendor/jquery-1.12.4.min.js	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/vendor/jquery-1.12.4.min.js	(from http://demo.highhay.com/simpleux/index-slideshow.html)
09:19:20	3131/3131	---M--	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:29%20GMT	http://demo.highhay.com/simpleux/js/form_script.js	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/js/form_script.js	(from http://demo.highhay.com/simpleux/index-slideshow.html)
